,Uniprot_id,Gene,Sequence_length,Mol_weight_Delton,Family_class,KEGG_Pathways,Associated_PDBs
964,Q9UJM8,HAO1,370,40924,FMN_dh,['hsa:54363'],"['2NZL', '2RDT', '2RDU', '2RDW', '2W0U', '5QIB', '5QIC', '5QID', '5QIE', '5QIF', '5QIG', '5QIH', '6GMB', '6GMC', '6W44', '6W45', '6W4C', '7M2O', '7R4N']"
965,P43711,fabH,316,34280,ACP_syn_III,['hin:HI_0157'],['3IL3']
966,O26232,pyrF,228,24915,OMPdecase,['mth:MTH_129'],"['1DV7', '1DVJ', '1KLY', '1KLZ', '1KM0', '1KM1', '1KM2', '1KM3', '1KM4', '1KM5', '1KM6', '1LOL', '1LOQ', '1LOR', '1LOS', '1LP6', '1X1Z', '2E6Y', '2ZZ1', '2ZZ2', '2ZZ3', '2ZZ4', '2ZZ5', '2ZZ6', '2ZZ7', '3G18', '3G1A', '3G1D', '3G1F', '3G1H', '3G1S', '3G1V', '3G1X', '3G1Y', '3G22', '3G24', '3LHT', '3LHU', '3LHV', '3LHW', '3LHY', '3LHZ', '3LI0', '3LI1', '3LLD', '3LLF', '3LTP', '3LTS', '3LTY', '3LV5', '3LV6', '3M1Z', '3M41', '3M43', '3M44', '3M47', '3M5X', '3M5Y', '3M5Z', '3NQ6', '3NQ7', '3NQA', '3NQC', '3NQD', '3NQE', '3NQF', '3NQG', '3NQM', '3P5Y', '3P5Z', '3P60', '3P61', '3PBU', '3PBV', '3PBW', '3PBY', '3PC0', '3QEZ', '3QF0', '3QMR', '3QMS', '3QMT', '3RLU', '3RLV', '3SEC', '3SGU', '3SIZ', '3SJ3', '3SSJ', '3SW6', '3SY5', '3THQ', '3V1P', '3W07', '3WJW', '3WJX', '3WJY', '3WJZ', '3WK0', '3WK1', '3WK2', '3WK3', '4FX6', '4FX8', '4FXR', '4GC4', '4LC6', '4LC8', '4LW7', '4NT0', '4NUW', '4NX5', '4O11', '4O8R']"
967,Q9S497,fimH,300,31517,Fimbrial,[],['3MCY']
968,C7C422,blaNDM-1,270,28499,Lactamase_B,['ag:CAZ39946'],"['3PG4', '3RKJ', '3RKK', '3SBL', '3SFP', '3SPU', '3SRX', '3ZR9', '4EXS', '4EXY', '4EY2', '4EYB', '4EYF', '4EYL', '4GYQ', '4GYU', '4H0D', '4HKY', '4HL1', '4HL2', '4RAM', '4RAW', '4RBS', '4RL0', '4RL2', '4RM5', '4U4L', '5A5Z', '5JQJ', '5K4M', '5N0H', '5N0I', '5NBK', '5O2E', '5O2F', '5WIG', '5XP6', '5XP9', '5ZGE', '5ZGF', '5ZGI', '5ZGP', '5ZGQ', '5ZGR', '5ZGT', '5ZGU', '5ZGV', '5ZGW', '5ZGX', '5ZGY', '5ZGZ', '5ZH1', '5ZIO', '5ZJ1', '5ZJ2', '5ZJ7', '5ZJ8', '5ZJC', '6C6I', '6CAC', '6D1A', '6D1B', '6D1C', '6D1D', '6D1E', '6D1F', '6D1G', '6D1H', '6D1I', '6D1J', '6D1K', '6EFJ', '6EX7', '6IBS', '6IBV', '6JKB', '6LHE', '6LIP', '6LIZ', '6LJ0', '6LJ1', '6LJ2', '6LJ4', '6LJ5', '6LJ6', '6LJ7', '6LJ8', '6MDU', '6MGY', '6MGZ', '6NY7', '6O3R', '6Q2Y', '6Q30', '6RMF', '6TWT', '6V1M', '6ZYP', '6ZYQ']"
969,P30935,Sstr3,428,47216,7tm_1,['mmu:20607'],[]
970,P01106,MYC,439,48804,HLH,['hsa:4609'],"['1A93', '1EE4', '1MV0', '1NKP', '2A93', '2OR9', '4Y7R', '5I4Z', '5I50', '6C4U', '6E16', '6E24', '6G6J', '6G6K', '6G6L']"
971,A4Q9F0,Ttll7,912,105501,TTL,['mmu:70892'],[]
972,P05198,EIF2S1,315,36112,EIF_2_alpha,['hsa:1965'],"['1KL9', '1Q8K', '6K71', '6K72', '6O81', '6O85', '6O9Z', '6YBV', '6ZMW', '6ZP4', '7A09', '7D43', '7D44', '7D45', '7F66', '7F67', '7NZM']"
973,Q13526,PIN1,163,18243,Rotamase,['hsa:5300'],"['1F8A', '1I6C', '1I8G', '1I8H', '1NMV', '1NMW', '1PIN', '1ZCN', '2F21', '2ITK', '2KBU', '2KCF', '2LB3', '2M8I', '2M8J', '2M9E', '2M9F', '2M9I', '2M9J', '2N1O', '2Q5A', '2RUC', '2RUD', '2RUQ', '2RUR', '2XP3', '2XP4', '2XP5', '2XP6', '2XP7', '2XP8', '2XP9', '2XPA', '2XPB', '2ZQS', '2ZQT', '2ZQU', '2ZQV', '2ZR4', '2ZR5', '2ZR6', '3I6C', '3IK8', '3IKD', '3IKG', '3JYJ', '3KAB', '3KAC', '3KAD', '3KAF', '3KAG', '3KAH', '3KAI', '3KCE', '3NTP', '3ODK', '3OOB', '3TC5', '3TCZ', '3TDB', '3WH0', '4GWT', '4GWV', '4QIB', '4TNS', '4TYO', '4U84', '4U85', '4U86', '5B3W', '5B3X', '5B3Y', '5B3Z', '5BMY', '5GPH', '5UY9', '5VTI', '5VTJ', '5VTK', '6DUN', '6O33', '6O34', '6SVC', '6SVE', '6SVH', '6VAJ', '7AOG', '7AXN', '7AYF', '7AZ1', '7AZ2', '7BDP', '7BDT', '7BDY', '7BFW', '7BG3', '7BGQ', '7BGR', '7BGV', '7BGW', '7EFJ', '7EFX', '7EKV', '7F0M', '7NIF', '7NIG', '7NJ6', '7NJ8', '7NJA', '7NRK', '7NRL', '7SA5']"
974,P07659,1,884,98790,RNA_pol,['vg:927437'],[]
975,P06756,ITGAV,1048,116038,FG-GAP,['hsa:3685'],"['1JV2', '1L5G', '1M1X', '1U8C', '3IJE', '4G1E', '4G1M', '4MMX', '4MMY', '4MMZ', '4O02', '4UM8', '4UM9', '5FFG', '5FFO', '5NEM', '5NER', '5NET', '5NEU', '6AVQ', '6AVR', '6AVU', '6DJP', '6MK0', '6MSL', '6MSU', '6NAJ', '6OM1', '6OM2', '6UJA', '6UJB', '6UJC']"
976,P06280,GLA,429,48767,Melibiase_2,['hsa:2717'],"['1R46', '1R47', '3GXN', '3GXP', '3GXT', '3HG2', '3HG3', '3HG4', '3HG5', '3LX9', '3LXA', '3LXB', '3LXC', '3S5Y', '3S5Z', '3TV8', '4NXS', '6IBK', '6IBM', '6IBR', '6IBT']"
977,P30989,NTSR1,418,46259,7tm_1,['hsa:4923'],"['2LYW', '6OS9', '6OSA', '6PWC', '6UP7']"
978,O14672,ADAM10,748,84142,Disintegrin,['hsa:102'],"['6BDZ', '6BE6']"
979,P11799,Mylk,1906,210446,fn3,[],"['1CDL', '1QS7', '1QTX', '1VRK', '2O5G', '3EK7', '3EK8', '3EKH', '3EVU', '3EVV', '3O77', '3O78', '4OY4']"
980,P22518,Clk1,483,57093,Pkinase,['mmu:12747'],[]
981,P10826,RARB,455,50489,Hormone_recep,['hsa:5915'],"['1HRA', '1XAP', '4DM6', '4DM8', '4JYG', '4JYH', '4JYI', '5UAN', '6SSQ']"
982,O14686,KMT2D,5537,593389,FYRC,['hsa:8085'],"['3UVK', '4ERQ', '4Z4P', '6O7G']"
983,Q9Y6E0,STK24,443,49308,Pkinase,['hsa:8428'],"['3A7F', '3A7G', '3A7H', '3A7I', '3A7J', '3CKW', '3CKX', '3ZHP', '4O27', '4QML', '4QMM', '4QMN', '4QMO', '4QMP', '4QMQ', '4QMS', '4QMT', '4QMU', '4QMV', '4QMW', '4QMX', '4QMY', '4QMZ', '4QNA', '4QO9', '4U8Z', '4W8D', '4W8E', '7B30', '7B31', '7B32', '7B33', '7B34', '7B35']"
984,Q70AG6,,169,20352,,[],[]
985,O19015,GLB1,669,75230,BetaGal_dom4_5,['fca:493927'],[]
986,Q94696,luc,552,61000,AMP-binding,[],[]
987,Q96PN8,TSSK3,268,30102,Pkinase,['hsa:81629'],[]
988,Q60612,Adora1,326,36638,7tm_1,['mmu:11539'],[]
989,P30545,Adra2b,453,50443,7tm_1,['mmu:11552'],[]
990,P10721,KIT,976,109865,ig,['hsa:3815'],"['1PKG', '1T45', '1T46', '2E9W', '2EC8', '2IUH', '2VIF', '3G0E', '3G0F', '4HVS', '4K94', '4K9E', '4PGZ', '4U0I', '6GQJ', '6GQK', '6GQL', '6GQM', '6HH1', '6ITT', '6ITV', '6KLA', '6MOB', '6XV9', '6XVA', '6XVB', '7KHG', '7KHJ', '7KHK']"
991,O15547,P2RX6,441,48829,,['hsa:9127'],[]
992,P18762,Adrb2,418,46998,7tm_1,['mmu:11555'],[]
993,P09216,Prkce,737,83478,C1_1,['rno:29340'],['1GMI']
994,P07824,Arg1,323,34973,Arginase,['rno:29221'],"['1D3V', '1HQ5', '1HQF', '1HQG', '1HQH', '1HQX', '1P8M', '1P8N', '1P8O', '1P8P', '1P8Q', '1P8R', '1P8S', '1R1O', '1RLA', '1T4P', '1T4R', '1T4S', '1T4T', '1T5F', '1T5G', '1TA1', '1TBH', '1TBJ', '1TBL', '1ZPE', '1ZPG', '2RLA', '3E8Q', '3E8Z', '3E9B', '3RLA', '4RLA', '5RLA']"
995,P07896,Ehhadh,722,78658,3HCDH,['rno:171142'],"['1ZCJ', '2X58', '3ZW8', '3ZW9', '3ZWA', '3ZWB', '3ZWC', '5MGB', '5OMO', '6Z5F', '6Z5O', '6Z5V', '6ZIB', '6ZIC']"
996,B9UM26,gpr81,362,41608,7tm_1,['cfa:486252'],[]
997,Q16790,CA9,459,49698,Carb_anhydrase,['hsa:768'],"['2HKF', '3IAI', '5DVX', '5FL4', '5FL5', '5FL6', '6FE0', '6FE1', '6FE2', '6G98', '6G9U', '6QN2', '6QN5', '6QN6', '6QUT', '6RQN', '6RQQ', '6RQU', '6RQW', '6TL5', '6TL6', '6Y74', '7POM']"
998,P38260,FES1,290,32604,Fes1,['sce:YBR101C'],[]
999,O08703,KCNH2,162,18383,Ion_trans,[],[]
1000,P32738,Chat,640,71864,Carn_acyltransf,[],"['1Q6X', '1T1U']"
1001,P67777,PPP2CA,309,35594,Metallophos,['ocu:100009252'],[]
1002,P33908,MAN1A1,653,72969,Glyco_hydro_47,['hsa:4121'],[]
1003,O62698,PTGS2,604,69163,An_peroxidase,['bta:282023'],[]
1004,P15498,VAV1,845,98314,C1_1,['hsa:7409'],"['2CRH', '2LCT', '2MC1', '2ROR', '3BJI', '3KY9', '6NEW', '6NF1', '6NFA']"
1005,O69002,pigA,198,21954,Heme_oxygenase,['pae:PA0672'],['1SK7']
1006,P32302,CXCR5,372,41955,7tm_1,['hsa:643'],[]
1007,P36633,Aoc1,746,85021,Cu_amine_oxid,[],[]
1008,Q81JI8,,,,,[],[]
1009,P97449,Anpep,966,109651,ERAP1_C,['mmu:16790'],[]
1010,O14519,CDK2AP1,115,12365,CDK2AP,['hsa:8099'],['2KW6']
1011,O60755,GALR3,368,39573,7tm_1,['hsa:8484'],[]
1012,P19235,EPOR,508,55065,EpoR_lig-bind,['hsa:2057'],"['1CN4', '1EBA', '1EBP', '1EER', '1ERN', '2JIX', '2MV6', '4Y5V', '4Y5X', '4Y5Y', '6E2Q', '6MOE', '6MOF', '6MOH', '6MOI', '6MOJ', '6MOK', '6MOL']"
1013,P34949,MPI,423,46656,PMI_typeI,['hsa:4351'],[]
1014,O67625,ispH,289,32104,LYTB,['aae:aq_1739'],['3DNF']
1015,B4URF0,NA,453,49673,Neur,[],[]
1016,P16753,UL80,708,73852,Peptidase_S21,[],"['1CMV', '1ID4', '1IEC', '1IED', '1IEF', '1IEG', '1JQ6', '1JQ7', '1LAY', '1NJT', '1NJU', '1NKK', '1NKM', '1WPO', '2WPO']"
1017,Q7WZI7,stx1,315,34845,RIP,[],[]
1018,Q9UKP6,UTS2R,389,42130,7tm_1,['hsa:2837'],['6HVK']
1019,Q6ZWH5,NEK10,1172,133259,Pkinase,['hsa:152110'],[]
1020,P70677,Casp3,277,31475,,['mmu:12367'],[]
1021,P59676,pbpX,750,82343,PASTA,['spr:spr0304'],"['1PYY', '5OAU', '5OIZ', '5OJ0', '5OJ1']"
1022,Q8N2K0,ABHD12,398,45097,Hydrolase_4,['hsa:26090'],[]
1023,P41593,Pth1r,591,66372,7tm_2,['mmu:19228'],[]
1024,Q14524,SCN5A,2016,226940,Ion_trans,['hsa:6331'],"['2KBI', '2L53', '4DCK', '4DJC', '4JQ0', '4OVN', '5DBR', '6LQA', '6MUD', '7DTC', '7L83']"
1025,P29070,chs-1,917,102692,Chitin_synth_1,['ncr:NCU03611'],[]
1026,P33435,Mmp13,472,54182,Hemopexin,['mmu:17386'],['1CXV']
1027,Q14833,GRM4,912,101868,7tm_3,['hsa:2914'],['7E9H']
1028,Q14123,PDE1C,709,80760,PDEase_I,['hsa:5137'],[]
1029,P56199,ITGA1,1179,130848,FG-GAP,['hsa:3672'],"['1PT6', '1QC5', '1QCY', '2L8S', '2M32', '4A0Q', '5HGJ']"
1030,P18440,NAT1,290,33899,Acetyltransf_2,['hsa:9'],"['2IJA', '2PQT']"
1031,Q25917,map-2,508,59210,Pkinase,['pfa:PF3D7_1113900'],[]
1032,P03433,PA,716,82588,Flu_PA,['vg:956535'],"['2ZNL', '4YYL', '4ZHZ', '4ZI0', '4ZQQ', '5FDD', '5FDG', '5I13', '5JHT', '5JHV']"
1033,P41144,OPRK1,380,42736,7tm_1,['cpoc:100135587'],[]
1034,Q6PRG8,,294,32273,Beta-lactamase2,['ag:AAS92558'],[]
1035,Q16873,LTC4S,150,16567,MAPEG,['hsa:4056'],"['2PNO', '2UUH', '2UUI', '3B29', '3HKK', '3LEO', '3PCV', '4BPM', '4J7T', '4J7Y', '4JC7', '4JCZ', '4JRZ', '4WAB', '5HV9', '6R7D']"
1036,O43598,DNPH1,174,19108,Nuc_deoxyrib_tr,['hsa:10591'],['4P5E']
1037,P32755,Hpd,393,45112,Glyoxalase,['rno:29531'],['1SQI']
1038,Q9UKX5,ITGA11,1188,133470,FG-GAP,['hsa:22801'],[]
1039,Q6PFW1,PPIP5K1,1433,159521,His_Phos_2,['hsa:9677'],[]
1040,P46092,CCR10,362,38416,7tm_1,['hsa:2826'],[]
1041,P08413,Camk2b,542,60402,CaMKII_AD,['rno:24245'],['6HCS']
1042,P36894,BMPR1A,532,60198,Activin_recp,['hsa:657'],"['1ES7', '1REW', '2GOO', '2H62', '2H64', '2K3G', '2QJ9', '2QJA', '2QJB', '3NH7', '3QB4']"
1043,Q99661,KIF2C,725,81313,Kinesin,['hsa:11004'],"['2HEH', '4UBF', '4Y05', '5MIO']"
1044,Q8WXI7,MUC16,14507,1519175,SEA,['hsa:94025'],['7SA9']
1045,Q01693,,504,54232,Peptidase_M28,[],"['1AMP', '1CP6', '1FT7', '1IGB', '1LOK', '1RTQ', '1TXR', '1XRY', '2ANP', '2DEA', '2IQ6', '2NYQ', '2PRQ', '3B35', '3B3C', '3B3S', '3B3T', '3B3V', '3B3W', '3B7I', '3FH4', '3VH9']"
1046,P24666,ACP1,158,18042,LMWPc,['hsa:52'],"['1XWW', '3N8I', '4Z99', '4Z9A', '4Z9B', '5JNR', '5JNS', '5JNT', '5KQG', '5KQL', '5KQM', '5KQP', '5PNT', '6Y2V', '6Y2W', '7KH8']"
1047,P20815,CYP3A5,502,57109,p450,['hsa:1577'],['5VEU']
1048,P05555,Itgam,1153,127481,FG-GAP,[],['6RHV']
1049,P12643,BMP2,396,44702,TGF_beta,['hsa:650'],"['1ES7', '1REU', '1REW', '2GOO', '2H62', '2H64', '2QJ9', '2QJA', '2QJB', '3BK3', '3BMP', '4MID', '4N1D', '4UHY', '4UHZ', '4UI0', '4UI1', '4UI2', '6OMN', '7AG0']"
1050,P19838,NFKB1,968,105356,Ank,['hsa:4790'],"['1MDI', '1MDJ', '1MDK', '1NFI', '1SVC', '2DBF', '2O61', '3GUT', '7LEQ', '7LET', '7LF4', '7LFC', '7RG4', '7RG5']"
1051,P05231,IL6,212,23718,IL6,['hsa:3569'],"['1ALU', '1IL6', '1P9M', '2IL6', '4CNI', '4J4L', '4NI7', '4NI9', '4O9H', '4ZS7', '5FUC', '7NXZ']"
1052,P48026,Sat1,171,20012,Acetyltransf_1,['mmu:20229'],"['3BJ7', '3BJ8']"
1053,Q8FEJ5,ispD,236,25779,IspD,['ecc:c3314'],[]
1054,P34995,PTGER1,402,41801,7tm_1,['hsa:5731'],[]
1055,P49660,Sstr4,385,41932,7tm_1,['mmu:20608'],[]
1056,Q59514,bla,313,35383,Beta-lactamase2,[],[]
1057,Q63016,Slc7a5,512,55903,AA_permease_2,['rno:50719'],[]
1058,Q12866,MERTK,999,110249,fn3,['hsa:10461'],"['2DBJ', '2P0C', '3BPR', '3BRB', '3TCP', '4M3Q', '4MH7', '4MHA', '5K0K', '5K0X', '5TC0', '5TD2', '5U6C', '6MEP', '7AAX', '7AAY', '7AAZ', '7AB0', '7AB1', '7AB2', '7AVX', '7AVY', '7AVZ', '7AW0', '7AW1', '7AW2', '7AW3', '7AW4', '7CQE', '7DXL', '7M5Z', '7OAM', '7OLS', '7OLV', '7OLX']"
1059,P07374,,840,90748,Amidohydro_1,[],"['3LA4', '4GOA', '4GY7', '4H9M', '7KNS']"
1060,P13721,St6gal1,403,46754,Glyco_transf_29,['rno:25197'],['4MPS']
1061,P40763,STAT3,770,88068,SH2,['hsa:6774'],"['5AX3', '5U5S', '6NJS', '6NUQ', '6QHD', '6TLC']"
1062,Q14573,ITPR3,2671,304106,Ins145_P3_rec,['hsa:3710'],"['6DQJ', '6DQN', '6DQS', '6DQV', '6DQZ', '6DR0', '6DR2', '6DRA', '6DRC', '6UQK', '7T3P', '7T3Q', '7T3R', '7T3T', '7T3U']"
1063,Q91ZY3,HRH4,389,44512,7tm_1,['cpoc:100379272'],[]
1064,O14727,APAF1,1248,141840,APAF1_C,['hsa:317'],"['1C15', '1CWW', '1CY5', '1Z6T', '2P1H', '2YGS', '3J2T', '3JBT', '3YGS', '4RHW', '5JUY', '5WVC', '5WVE']"
1065,Q07014,Lyn,512,58660,PK_Tyr_Ser-Thr,['rno:81515'],[]
1066,O96017,CHEK2,543,60915,FHA,['hsa:11200'],"['1GXC', '2CN5', '2CN8', '2W0J', '2W7X', '2WTC', '2WTD', '2WTI', '2WTJ', '2XBJ', '2XK9', '2XM8', '2XM9', '2YCF', '2YCQ', '2YCR', '2YCS', '2YIQ', '2YIR', '2YIT', '3I6U', '3I6W', '3VA4', '4A9R', '4A9S', '4A9T', '4A9U', '4BDA', '4BDB', '4BDC', '4BDD', '4BDE', '4BDF', '4BDG', '4BDH', '4BDI', '4BDJ', '4BDK']"
1067,O88566,Axin2,840,92906,AXIN1_TNKS_BD,['mmu:12006'],[]
1068,Q8C0L6,Paox,504,55447,Amino_oxidase,['mmu:212503'],"['5LAE', '5LFO', '5LGB', '5MBX']"
1069,Q8K093,Trhde,1025,117458,ERAP1_C,['mmu:237553'],[]
1070,P54756,EPHA5,1037,114803,EphA2_TM,['hsa:2044'],"['2R2P', '4ET7']"
1071,P16232,Hsd11b1,288,31883,adh_short,['rno:25116'],[]
1072,P07332,FES,822,93497,FCH,['hsa:2242'],"['1WQU', '2DCR', '3BKB', '3CBL', '3CD3', '4DYL', '4E93', '6JMF']"
1073,P05455,SSB,408,46837,La,['hsa:6741'],"['1OWX', '1S79', '1S7A', '1YTY', '1ZH5', '2VOD', '2VON', '2VOO', '2VOP']"
1074,P54687,BCAT1,386,42966,Aminotran_4,['hsa:586'],"['2ABJ', '2COG', '2COI', '2COJ']"
1075,Q07813,Bax,192,21395,Bcl-2,['mmu:12028'],"['2XA0', '5W62']"
1076,P19224,UGT1A6,532,60751,UDPGT,['hsa:54578'],[]
1077,Q6GG09,pyk,585,63142,PEP-utilizers,['sar:SAR1776'],"['3T05', '3T07', '3T0T']"
1078,Q9UBY5,LPAR3,353,40128,7tm_1,['hsa:23566'],[]
1079,P07140,Ace,649,71785,COesterase,['dme:Dmel_CG17907'],"['1DX4', '1QO9', '1QON', '6XYS', '6XYU', '6XYY']"
1080,P14625,HSP90B1,803,92469,HATPase_c,['hsa:7184'],['4NH9']
1081,P29965,CD40LG,261,29274,TNF,['hsa:959'],"['1ALY', '1I9R', '3LKJ', '3QD6', '6BRB', '6W9G', '7SGM']"
1082,P21575,Dnm1,864,97295,Dynamin_M,['rno:140694'],"['2AKA', '3ZVR']"
1083,P17105,Itpka,459,50871,IPK,['rno:81677'],['1TZD']
1084,O00625,PIR,290,32113,Pirin,['hsa:8544'],"['1J1L', '3ACL', '4ERO', '4EWA', '4EWD', '4EWE', '4GUL', '4HLT', '5JCT', '6H1H', '6H1I', '6N0J', '6N0K']"
1085,P14174,MIF,115,12476,MIF,['hsa:4282'],"['1CA7', '1CGQ', '1GCZ', '1GD0', '1GIF', '1LJT', '1MIF', '1P1G', '2OOH', '2OOW', '2OOZ', '3B9S', '3CE4', '3DJH', '3DJI', '3HOF', '3IJG', '3IJJ', '3JSF', '3JSG', '3JTU', '3L5P', '3L5R', '3L5S', '3L5T', '3L5U', '3L5V', '3SMB', '3SMC', '3U18', '3WNR', '3WNS', '3WNT', '4ETG', '4EUI', '4EVG', '4F2K', '4GRN', '4GRO', '4GRP', '4GRQ', '4GRR', '4GRU', '4GUM', '4K9G', '4OSF', '4OYQ', '4P01', '4P0H', '4PKK', '4PKZ', '4PLU', '4TRF', '4TRU', '4WR8', '4WRB', '4XX7', '4XX8', '4Z15', '4Z1T', '4Z1U', '5B4O', '5BS9', '5BSC', '5BSI', '5BSJ', '5EIZ', '5HVS', '5HVT', '5HVV', '5J7P', '5J7Q', '5UMJ', '5UMK', '5UZY', '5V70', '5V73', '5XEJ', '6B1C', '6B1K', '6B2C', '6BG6', '6BG7', '6CB5', '6CBF', '6CBG', '6CBH', '6FVE', '6FVH', '6OY8', '6OYB', '6OYE', '6OYG', '6PEG', '7KQX']"
1086,P17655,CAPN2,700,79995,Calpain_III,['hsa:824'],"['1KFU', '1KFX', '2NQA']"
1087,P22083,FUT4,530,59084,Glyco_tran_10_N,['hsa:2526'],[]
1088,P51511,MMP15,669,75807,DUF3377,['hsa:4324'],[]
1089,P56489,CHRM1,460,51433,7tm_1,['mcc:574362'],[]
1090,P14927,UQCRB,111,13530,UCR_14kD,['hsa:7381'],"['5XTE', '5XTH', '5XTI']"
1091,Q8WXB1,METTL21A,218,24600,Methyltransf_16,['hsa:151194'],['4LEC']
1092,O88627,Slc28a2,660,72916,Gate,['mmu:269346'],[]
1093,P03951,F11,625,70109,PAN_1,['hsa:2160'],"['1XX9', '1XXD', '1XXF', '1ZHM', '1ZHP', '1ZHR', '1ZJD', '1ZLR', '1ZMJ', '1ZML', '1ZMN', '1ZOM', '1ZPB', '1ZPC', '1ZPZ', '1ZRK', '1ZSJ', '1ZSK', '1ZSL', '1ZTJ', '1ZTK', '1ZTL', '2F83', '2FDA', '2J8J', '2J8L', '3BG8', '3SOR', '3SOS', '4CR5', '4CR9', '4CRA', '4CRB', '4CRC', '4CRD', '4CRE', '4CRF', '4CRG', '4D76', '4D7F', '4D7G', '4NA7', '4NA8', '4TY6', '4TY7', '4WXI', '4X6M', '4X6N', '4X6O', '4X6P', '4Y8X', '4Y8Y', '4Y8Z', '5E2O', '5E2P', '5EOD', '5EOK', '5EXL', '5EXM', '5EXN', '5I25', '5Q0D', '5Q0E', '5Q0F', '5Q0G', '5Q0H', '5QCK', '5QCL', '5QCM', '5QCN', '5QQO', '5QQP', '5QTT', '5QTV', '5QTW', '5QTY', '5TKS', '5TKT', '5TKU', '5WB6', '6AOD', '6C0S', '6HHC', '6I58', '6R8X', '6TS4', '6TS5', '6TS6', '6TS7', '6TWB', '6USY', '6VLU', '6VLV', '6W50', '7CJ1', '7MBO']"
1094,Q8TCC7,SLC22A8,542,59856,Sugar_tr,['hsa:9376'],[]
1095,Q92560,BAP1,729,80362,Peptidase_C12,['hsa:8314'],[]
1096,P13674,P4HA1,534,61049,2OG-FeII_Oxy_3,['hsa:5033'],"['1TJC', '2V5F', '2YQ8', '4BT8', '4BT9', '4BTA', '4BTB']"
1097,P31421,Grm2,872,95774,7tm_3,['rno:24415'],[]
1098,P38650,Dync1h1,4644,532252,AAA_6,['rno:29489'],[]
1099,P35503,UGT1A3,534,60338,UDPGT,['hsa:54659'],[]
1100,Q9Y6M4,CSNK1G3,447,51389,CK1gamma_C,['hsa:1456'],"['2CHL', '2IZR', '2IZS', '2IZT', '2IZU', '4G16', '4G17', '4HGL', '4HGS', '6GRO']"
1101,Q9P2J5,LARS1,1176,134466,Anticodon_1,['hsa:51520'],"['2WFD', '6KID', '6KIE', '6KQY', '6KR7', '6LPF', '6LR6']"
1102,P9WI55,ppa,162,18329,Pyrophosphatase,['mtu:Rv3628'],"['1SXV', '1WCF', '2UXS', '4Z70', '4Z71', '4Z72', '4Z73', '4Z74', '5KDE', '5KDF']"
1103,C1N1S5,HEMG,541,57313,Amino_oxidase,['mpp:MICPUCDRAFT_35610'],[]
1104,Q3U507,Gpr174,335,38761,7tm_1,['mmu:213439'],[]
1105,Q9MYM4,GAA,937,104757,Gal_mutarotas_2,['bta:280798'],[]
1106,P39040,TPR,491,53229,Pyr_redox_2,['ag:CAA78264'],"['1FEA', '1FEB', '1FEC', '1TYP', '1TYT', '2TPR']"
1107,Q9QYR9,Acot2,453,49657,BAAT_C,['mmu:171210'],[]
1108,P30277,Ccnb1,423,47391,Cyclin_C,['rno:25203'],[]
1109,Q02763,TEK,1124,125830,fn3,['hsa:7010'],"['1FVR', '2GY5', '2GY7', '2OO8', '2OSC', '2P4I', '2WQB', '3BEA', '3L8P', '4K0V', '4X3J', '5MYA', '5MYB', '5UTK', '6MWE', '7E72']"
1110,Q14626,IL11RA,422,45222,,['hsa:3590'],['6O4P']
1111,P35498,SCN1A,2009,228972,Ion_trans,['hsa:6323'],['7DTD']
1112,O55040,Nmur1,428,47934,7tm_1,['mmu:14767'],[]
1113,Q9WV60,Gsk3b,420,46710,Pkinase,['mmu:56637'],"['4NU1', '5AIR', '6AE3']"
1114,Q01320,Top2a,1528,172790,DNA_gyraseB,['mmu:21973'],[]
1115,Q9GRG6,6pgl,266,28646,Glucosamine_iso,[],"['2J0E', '3E7F', '3EB9']"
1116,P08176,DERP1,320,36104,Peptidase_C1,[],"['1XKG', '2AS8', '5VCN', '5VCO', '5VPG', '5VPH']"
1117,Q8N4C8,MINK1,1332,149822,CNH,['hsa:50488'],[]
1118,Q13370,PDE3B,1112,124333,PDEase_I,['hsa:5140'],"['1SO2', '1SOJ']"
1119,O78750,MT-CO2,227,25998,COX2,['oas:808252'],"['5J4Z', '5J7Y']"
1120,Q00496,botE,1251,143844,Peptidase_M27,['ag:CAA43999'],"['1T3A', '1T3C', '1ZKW', '1ZKX', '1ZL5', '1ZL6', '1ZN3', '3FFZ', '7K7Y', '7K84']"
1121,P21781,FGF7,194,22509,FGF,['hsa:2252'],[]
1122,P23786,CPT2,658,73777,Carn_acyltransf,['hsa:1376'],[]
1123,Q3KVM1,,555,61502,COesterase,[],[]
1124,Q6NXK8,Asic1,526,59668,ASC,['mmu:11419'],[]
1125,Q8VDP6,Cdipt,213,23599,CDP-OH_P_transf,['mmu:52858'],[]
1126,P54219,SLC18A1,525,56257,MFS_1,['hsa:6570'],[]
1127,P61956,SUMO2,95,10871,Rad60-SLD,['hsa:6613'],"['1WM2', '1WM3', '1WZ0', '2AWT', '2CKH', '2D07', '2IO0', '2IO3', '2IYD', '2N1W', '2N9E', '2RPQ', '3UIN', '3UIO', '3ZO5', '4BKG', '4NPN', '5D2M', '5ELU', '5EQL', '5GHB', '5GHC', '6JXW', '6JXX']"
1128,Q9Y2P5,SLC27A5,690,75385,AMP-binding,['hsa:10998'],[]
